classifier_prob	classifier_judgement	true_label	sentence_1	sentence_2	#1 ID	#2 ID
0.6815372109413147	1	1	Amrozi accused his brother, whom he called "the witness", of deliberately distorting his evidence.	Referring to him as only "the witness", Amrozi accused his brother of deliberately distorting his evidence.	702876	702977
0.41684475541114807	0	0	Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.	Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.	2108705	2108831
0.9326488375663757	1	1	They had published an advertisement on the Internet on June 10, offering the cargo for sale, he added.	On June 10, the ship's owners had published an advertisement on the Internet, offering the explosives for sale.	1330381	1330521
0.46020421385765076	0	0	Around 0335 GMT, Tab shares were up 19 cents, or 4.4%, at A$4.56, having earlier set a record high of A$4.57.	Tab shares jumped 20 cents, or 4.6%, to set a record closing high at A$4.57.	3344667	3344648
0.5322827696800232	1	1	The stock rose $2.11, or about 11 percent, to close Friday at $21.51 on the New York Stock Exchange.	PG&E Corp. shares jumped $1.63 or 8 percent to $21.03 on the New York Stock Exchange on Friday.	1236820	1236712
0.6164640784263611	1	1	Revenue in the first quarter of the year dropped 15 percent from the same period a year earlier.	With the scandal hanging over Stewart's company, revenue the first quarter of the year dropped 15 percent from the same period a year earlier.	738533	737951
0.1499401330947876	0	0	The Nasdaq had a weekly gain of 17.27, or 1.2 percent, closing at 1,520.15 on Friday.	The tech-laced Nasdaq Composite .IXIC rallied 30.46 points, or 2.04 percent, to 1,520.15.	264589	264502
0.6401888728141785	1	1	The DVD-CCA then appealed to the state Supreme Court.	The DVD CCA appealed that decision to the U.S. Supreme Court.	579975	579810
0.3713493347167969	0	0	That compared with $35.18 million, or 24 cents per share, in the year-ago period.	Earnings were affected by a non-recurring $8 million tax benefit in the year-ago period.	3114205	3114194
0.9487784504890442	1	1	He said the foodservice pie business doesn't fit the company's long-term growth strategy.	"The foodservice pie business does not fit our long-term growth strategy.	1355540	1355592
0.4409889578819275	0	0	Shares of Genentech, a much larger company with several products on the market, rose more than 2 percent.	Shares of Xoma fell 16 percent in early trade, while shares of Genentech, a much larger company with several products on the market, were up 2 percent.	222621	222514
0.8574911952018738	1	0	Legislation making it harder for consumers to erase their debts in bankruptcy court won overwhelming House approval in March.	Legislation making it harder for consumers to erase their debts in bankruptcy court won speedy, House approval in March and was endorsed by the White House.	3131772	3131625
0.1905885934829712	0	0	The Nasdaq composite index increased 10.73, or 0.7 percent, to 1,514.77.	The Nasdaq Composite index, full of technology stocks, was lately up around 18 points.	58747	58516
0.7683113217353821	1	1	But he added group performance would improve in the second half of the year and beyond.	De Sole said in the results statement that group performance would improve in the second half of the year and beyond.	1464126	1464107
0.9425384998321533	1	1	He told The Sun newspaper that Mr. Hussein's daughters had British schools and hospitals in mind when they decided to ask for asylum.	"Saddam's daughters had British schools and hospitals in mind when they decided to ask for asylum -- especially the schools," he told The Sun.	771416	771467
0.4599999487400055	0	0	Gyorgy Heizler, head of the local disaster unit, said the coach was carrying 38 passengers.	The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.	142746	142671
0.5907338857650757	1	0	Rudder was most recently senior vice president for the Developer & Platform Evangelism Business.	Senior Vice President Eric Rudder, formerly head of the Developer and Platform Evangelism unit, will lead the new entity.	1286053	1286069
0.6559137105941772	1	0	As well as the dolphin scheme, the chaos has allowed foreign companies to engage in damaging logging and fishing operations without proper monitoring or export controls.	Internal chaos has allowed foreign companies to set up damaging commercial logging and fishing operations without proper monitoring or export controls.	1563874	1563853
0.5713617205619812	1	0	Magnarelli said Racicot hated the Iraqi regime and looked forward to using his long years of training in the war.	His wife said he was "100 percent behind George Bush" and looked forward to using his years of training in the war.	2029631	2029565
0.7443867921829224	1	1	Sheena Young of Child, the national infertility support network, hoped the guidelines would lead to a more "fair and equitable" service for infertility sufferers.	Sheena Young, a spokesman for Child, the national infertility support network, said the proposed guidelines should lead to a more "fair and equitable" service for infertility sufferers.	2150265	2150184
0.6325569152832031	1	0	"I think you'll see a lot of job growth in the next two years," he said, adding the growth could replace jobs lost.	"I think you'll see a lot of job growth in the next two years," said Mankiw.	2044342	2044457
0.8158160448074341	1	1	The new Finder puts a user's folders, hard drive, network servers, iDisk and removable media in one location, providing one-click access.	Panther's redesigned Finder navigation tool puts a user's favourite folders, hard drive, network servers, iDisk and removable media in one location.	1284150	1284173
